<<<<<<< Updated upstream
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2022-23,24,BOS,NBA,PF,56,56,2093,556,1203,.462,186,524,.355,370,679,.545,.539,418,483,.865,60,425,485,257,59,44,163,121,1716,,1,23.9,.606,.436,.401,3.2,22.0,12.7,20.6,1.4,1.8,10.3,32.9,,4.9,3.1,8.0,.184,,5.0,0.4,5.4,3.9
=======
G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
55,55,2051,547,1178,.464,183,512,.357,364,666,.547,.542,408,472,.864,57,416,473,250,57,43,159,120,1685,24.0,.608,.435,.401,3.1,21.9,12.7,20.6,1.4,1.8,10.3,32.9,,4.9,3.1,7.9,.186,,5.0,0.5,5.5,3.9
>>>>>>> Stashed changes
