,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1971-72,21.0,VIR,ABA,SF,84.0,3513.0,23.9,0.545,0.009,0.343,11.9,21.0,16.4,13.6,,,14.0,25.0,,7.4,5.8,13.3,0.181,,,,,
1,1972-73,22.0,VIR,ABA,SF,71.0,2993.0,27.7,0.547,0.013,0.339,8.6,19.5,14.1,15.7,2.6,2.3,13.6,29.6,,6.8,3.0,9.8,0.157,,,,,
2,1973-74,23.0,NYA,ABA,SF,84.0,3398.0,25.7,0.562,0.024,0.332,7.8,18.1,13.1,18.7,2.6,3.3,14.3,27.2,,9.2,7.2,16.5,0.233,,5.6,2.9,8.5,9.0
3,1974-75,24.0,NYA,ABA,SF,84.0,3402.0,26.2,0.565,0.048,0.337,8.6,18.4,13.6,19.9,2.5,2.6,12.7,27.9,,10.2,7.4,17.6,0.248,,6.2,2.3,8.5,9.0
4,1975-76,25.0,NYA,ABA,SF,84.0,3244.0,28.7,0.569,0.055,0.353,9.7,17.7,13.6,20.8,2.9,2.7,12.4,29.0,,11.7,6.0,17.7,0.262,,8.1,2.5,10.6,10.3
5,1976-77,26.0,PHI,NBA,SF,82.0,2940.0,20.9,0.553,,0.375,6.9,16.2,11.8,15.9,2.4,1.9,,,,6.8,4.8,11.5,0.188,,3.3,1.3,4.5,4.8
6,1977-78,27.0,PHI,NBA,SF,74.0,2429.0,21.7,0.555,,0.297,7.7,12.2,10.0,17.3,2.5,2.0,14.7,25.1,,6.0,3.1,9.1,0.179,,4.0,0.7,4.8,4.1
7,1978-79,28.0,PHI,NBA,SF,78.0,2802.0,20.1,0.538,,0.344,7.7,13.1,10.5,19.6,2.1,1.9,15.8,27.7,,3.6,4.4,7.9,0.136,,2.9,0.6,3.5,3.9
8,1979-80,29.0,PHI,NBA,SF,78.0,2812.0,25.4,0.568,0.012,0.331,8.6,12.9,10.9,21.4,2.8,2.7,13.3,30.3,,7.3,5.2,12.5,0.213,,5.7,1.9,7.6,6.8
9,1980-81,30.0,PHI,NBA,SF,82.0,2874.0,25.1,0.572,0.012,0.352,10.0,14.6,12.5,19.8,2.8,2.8,13.1,28.4,,7.8,6.1,13.8,0.231,,5.2,2.3,7.5,6.9
10,1981-82,31.0,PHI,NBA,SF,81.0,2789.0,25.9,0.593,0.008,0.377,9.3,13.0,11.2,18.1,2.8,2.9,11.4,28.1,,8.7,4.6,13.3,0.229,,6.0,1.7,7.7,6.8
11,1982-83,32.0,PHI,NBA,SF,72.0,2421.0,23.1,0.566,0.006,0.372,7.9,13.3,10.7,16.5,2.2,3.0,12.6,25.5,,6.8,4.1,10.9,0.217,,4.6,1.9,6.5,5.2
12,1983-84,33.0,PHI,NBA,SF,77.0,2683.0,22.9,0.562,0.016,0.365,8.3,14.1,11.2,19.3,2.5,3.0,13.0,27.2,,5.6,4.5,10.1,0.18,,4.3,1.6,5.9,5.3
13,1984-85,34.0,PHI,NBA,SF,78.0,2535.0,20.0,0.546,0.011,0.358,7.7,10.7,9.2,14.6,2.5,2.5,12.7,26.0,,4.5,3.1,7.6,0.144,,3.0,0.5,3.5,3.5
14,1985-86,35.0,PHI,NBA,SF,74.0,2474.0,17.4,0.537,0.029,0.339,7.7,9.1,8.4,15.4,2.2,1.9,14.6,23.8,,3.3,2.6,5.9,0.114,,1.8,0.3,2.1,2.6
15,1986-87,36.0,PHI,NBA,SF,60.0,1918.0,17.0,0.527,0.062,0.276,7.1,8.7,7.9,15.8,2.0,2.9,14.2,24.3,,1.7,1.8,3.5,0.088,,1.7,0.0,1.7,1.8
