,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1972-73,21.0,BUF,NBA,PF,80.0,2562.0,16.8,0.498,,0.271,,,13.3,8.1,,,,,,3.1,0.7,3.8,0.071,,,,,
1,1973-74,22.0,BUF,NBA,C,74.0,3185.0,24.7,0.594,,0.352,9.0,25.4,17.4,8.1,1.2,3.8,,,,10.9,4.4,15.3,0.231,,4.6,0.3,5.0,5.6
2,1974-75,23.0,BUF,NBA,C,82.0,3539.0,25.8,0.569,,0.372,9.2,23.5,16.6,8.6,1.2,2.4,,,,12.7,5.1,17.8,0.242,,5.1,-0.4,4.7,6.0
3,1975-76,24.0,BUF,NBA,C,78.0,3328.0,23.3,0.542,,0.383,7.8,22.0,15.1,15.7,1.2,2.5,,,,7.7,4.6,12.3,0.178,,3.6,0.2,3.8,4.9
4,1976-77,25.0,TOT,NBA,C,72.0,2798.0,21.8,0.557,,0.357,7.5,26.6,17.2,11.5,1.2,1.8,,,,5.8,3.8,9.6,0.164,,3.1,0.1,3.2,3.7
5,1976-77,25.0,BUF,NBA,C,20.0,767.0,19.9,0.505,,0.395,8.6,26.2,17.4,13.8,0.9,2.2,,,,0.7,0.9,1.7,0.104,,1.4,-0.3,1.2,0.6
6,1976-77,25.0,NYK,NBA,C,52.0,2031.0,22.6,0.577,,0.343,7.0,26.8,17.1,10.6,1.3,1.7,,,,5.0,2.9,7.9,0.187,,3.8,0.2,4.0,3.1
7,1977-78,26.0,NYK,NBA,C,79.0,3182.0,22.0,0.567,,0.412,7.8,24.7,16.4,13.4,1.4,2.0,15.8,26.1,,6.9,4.0,10.9,0.165,,2.9,0.1,3.0,4.0
8,1978-79,27.0,TOT,NBA,"C,PF",60.0,2231.0,20.4,0.561,,0.399,6.3,19.1,12.7,11.5,1.5,1.6,14.1,27.1,,3.5,2.3,5.8,0.125,,2.4,-0.2,2.3,2.4
9,1978-79,27.0,NYK,NBA,PF,40.0,1594.0,21.5,0.572,,0.422,6.3,19.4,12.8,12.2,1.8,1.6,14.0,26.9,,3.0,1.8,4.8,0.146,,3.2,0.2,3.4,2.2
10,1978-79,27.0,BOS,NBA,C,20.0,637.0,17.5,0.534,,0.344,6.2,18.4,12.3,9.9,0.8,1.6,14.3,27.5,,0.5,0.5,1.0,0.073,,0.6,-1.1,-0.5,0.2
11,1979-80,28.0,DET,NBA,PF,58.0,2097.0,16.3,0.524,0.023,0.314,5.0,18.5,11.7,13.9,1.6,1.6,16.9,25.8,,0.5,1.6,2.0,0.047,,0.0,-0.8,-0.8,0.6
12,1980-81,29.0,TOT,NBA,PF,16.0,321.0,14.4,0.471,0.006,0.261,5.8,18.8,12.0,14.7,2.5,2.3,15.5,25.8,,-0.3,0.5,0.2,0.029,,-2.0,0.5,-1.4,0.1
13,1980-81,29.0,DET,NBA,PF,6.0,168.0,11.5,0.396,0.0,0.244,5.9,23.5,14.2,18.6,2.3,2.4,16.5,26.2,,-0.4,0.3,-0.1,-0.035,,-2.8,0.5,-2.3,0.0
14,1980-81,29.0,NJN,NBA,PF,10.0,153.0,17.6,0.552,0.013,0.28,5.8,13.6,9.6,10.4,2.7,2.2,14.3,25.4,,0.1,0.2,0.3,0.1,,-1.1,0.6,-0.4,0.1
15,1981-82,30.0,LAL,NBA,C,41.0,746.0,14.4,0.509,0.015,0.382,6.8,16.1,11.6,5.5,1.4,2.6,11.7,23.2,,0.5,1.0,1.5,0.095,,-2.3,-0.4,-2.7,-0.1
16,1982-83,31.0,LAL,NBA,C,47.0,1019.0,20.6,0.555,0.002,0.29,8.7,17.8,13.4,5.3,1.8,2.1,9.7,27.2,,2.3,1.2,3.5,0.167,,0.7,-0.9,-0.2,0.5
17,1983-84,32.0,LAL,NBA,C,70.0,1456.0,15.9,0.53,0.007,0.353,6.9,15.0,11.2,6.9,1.3,1.8,12.8,27.4,,1.1,1.6,2.7,0.089,,-1.7,-1.2,-2.8,-0.3
18,1984-85,33.0,LAL,NBA,C,66.0,1254.0,15.4,0.559,0.002,0.297,7.9,17.9,13.4,6.9,0.7,2.3,13.3,23.0,,1.4,1.5,2.9,0.11,,-1.3,-0.8,-2.1,0.0
19,1985-86,34.0,PHI,NBA,C,29.0,609.0,12.2,0.513,0.0,0.323,4.6,14.3,9.5,8.5,0.8,1.7,14.6,22.2,,0.2,0.5,0.7,0.056,,-2.2,-1.2,-3.4,-0.2
